lat,lon,name,accesslevel,wheelchair
51.1752381,13.7028507,Fasanerie,0,unknown
51.1338861,13.6471837,Wartehalle,0,unknown
51.1366448,13.6517446,Wendeplatz,0,unknown
51.157464,13.6768424,Schule,0,unknown
51.0024202,13.6528395,Döhlen Schachtstraße,2,yes
51.0251247,13.6876465,"Dresden, Dölzschen",2,yes
50.9971843,13.6873752,Meßweg,0,unknown
50.994538,13.6906059,"Kleinnaundorf, Steigerstraße",0,unknown
51.0162771,13.7006227,"Dresden, Achtbeeteweg",2,yes
50.9872193,13.8065816,Dresden Lockwitz,0,unknown
50.9872421,13.806827,Dresden Lockwitz,0,unknown
50.9872409,13.8069936,Dresden Lockwitz,0,unknown
50.9867499,13.8028022,Dresden Am Galgenberg,-1,no
50.9867169,13.8029988,Dresden Am Galgenberg,-1,no
50.9884682,13.8027419,Hänichenweg,2,yes
50.988776,13.802618,Hänichenweg,2,yes
50.9907906,13.8023674,Theilestraße,2,yes
50.9901098,13.8024103,Theilestraße,2,yes
51.0346281,13.720749,Bernhardstraße,2,yes
51.0348078,13.7205948,Bernhardstraße,2,yes
51.0737133,13.8845591,"Ullersdorf, Mühle",0,unknown
51.1448788,13.7403403,"Volkersdorf, Kindergarten",0,unknown
51.1477428,13.7393152,"Volkersdorf, Grenzweg",0,unknown
51.1468934,13.74024,"Volkersdorf, Grenzweg",0,unknown
51.0154926,13.7547091,"Dresden, Wilhelm-Busch-Straße",-1,no
51.168451,13.7232567,"Bärnsdorf, Zur Kleinbahn",0,unknown
51.0137133,13.6957581,Gittersee Kleinnaundorfer Straße,2,yes
51.1261248,13.7883778,Maria-Reiche-Straße,2,yes
51.1261895,13.7886954,Maria-Reiche-Straße,0,unknown
51.1272967,13.7810396,Grenzstraße Mitte,2,yes
51.1246175,13.9147406,"Radeberg, Dr.-R.-Friedrichs-Straße",0,unknown
51.009735,13.6922393,Gittersee Rathausstraße,2,yes
51.0192259,13.7407819,"Zschertnitz, Münzmeisterstr",-1,no
51.1521705,13.9103558,"Wachau, Oberdorf",0,unknown
51.1543765,13.9644859,"Leppersdorf, Pulsnitzer Straße",0,unknown
51.1272758,13.9497482,"Radeberg, Randsiedlung",0,unknown
51.0050566,13.8565557,Gondelweg,0,unknown
51.0717448,13.6704196,Zschonergrundstraße,0,unknown
51.0717603,13.6704106,Zschonergrundstraße,0,unknown
51.0671146,13.6739885,Merbitzer Straße,0,unknown
51.0001363,13.9124044,"Graupa, Tiefer Grund",1,limited
50.9960006,13.9079925,"Graupa, Borsbergstraße",-1,no
51.0001301,13.9215584,"Graupa, Tschaikowskiplatz",1,limited
50.9995284,13.9238787,Am Schloß,0,unknown
51.0000464,13.9124899,"Graupa, Tiefer Grund",1,limited
50.9999338,13.9214138,"Graupa, Tschaikowskiplatz",-1,no
51.0039383,13.9297262,Bonnewitzer Straße,1,limited
51.0036845,13.92919,Bonnewitzer Straße,1,limited
51.0061761,13.9426605,Bonnewitz,-1,no
50.9957119,13.9077611,"Graupa, Borsbergstraße",-1,no
51.1179943,13.9232006,"Radeberg, Markt",-1,no
51.1184696,13.6015466,EV4,0,unknown
51.1180666,13.7302386,Saßnitzer Straße,2,yes
51.0780269,13.6903847,Gewerbegebiet Kaditz,2,yes
51.0734675,13.689935,Overbeckstraße,2,yes
51.1254411,13.8344959,"Dresden-Langebrück, Lindenhof",0,unknown
51.1363946,13.8800092,"Radeberg-Liegau, Abzweig Schönborn",1,limited
51.0031436,13.6829486,Burgk Zschiedge,0,unknown
51.0010174,13.6770768,Burgk Schule,0,unknown
50.9996121,13.6707777,Burgk Wendeplatz,0,unknown
51.0022783,13.667443,Burgk Am Dathepark,0,unknown
51.0042676,13.6642657,Burgk Windbergallee,0,unknown
51.0998518,13.6543674,Kaufland Radebeul,0,unknown
50.9782714,13.8881713,Kindergarten,0,unknown
50.9802139,13.8877215,Altbirkwitz,0,unknown
50.9800925,13.8876734,Altbirkwitz,0,unknown
51.0556986,13.7224793,Bahnhof Mitte / Jahnstraße,2,yes
51.1149067,13.7886881,"Dresden, Bahnhof Klotzsche",1,limited
51.0880551,13.7152644,Wilder-Mann-Straße,0,unknown
51.0914171,13.7115065,Kopernikusstraße,0,unknown
51.1211464,13.7844655,Selliner Straße,1,limited
51.0869371,13.7222149,Markusfriedhof,0,unknown
51.0811912,13.7255847,Haltepunkt Pieschen,1,limited
51.0873971,13.9237504,"Großerkmannsdorf, Gasthof",0,unknown
51.0340499,13.7483809,Strehlener Platz,1,limited
51.0281103,13.7074829,Coschützer Straße,0,unknown
51.1182804,13.7893638,Käthe-Kollwitz-Platz,-1,no
51.1376209,13.7824227,"Klotzsche, Industriegebiet Nord",0,unknown
51.1353971,13.7804137,Schwimmhalle Klotzsche,1,limited
51.1312526,13.785727,Ikarusweg,0,unknown
51.131094,13.7868742,Ikarusweg,0,unknown
51.1300583,13.7898867,Hugo-Junkers-Ring,0,unknown
51.0506797,13.7518454,"Dresden, Gerichtsstraße",-1,no
51.0823813,13.7016132,Wächterstraße,2,yes
51.0397689,13.8444503,Fernsehturm,0,unknown
51.0398736,13.855968,"Pappritz, Birkenstraße",0,unknown
51.0357445,13.8536703,"Pappritz, Kurze Straße",0,unknown
51.0275384,13.7315572,Mommsenstraße,2,yes
51.0737997,13.7940403,"Dresden, Fischhaus",0,unknown
51.0737087,13.7941691,"Dresden, Fischhaus",0,unknown
51.0266663,13.8656726,Rockau - Am Dorfplatz,0,unknown
51.1444591,13.549654,Fabrikstraße ►,0,unknown
51.0366745,13.7161127,Chemnitzer Straße,1,limited
51.0372248,13.7162627,Chemnitzer Straße,2,yes
51.0374332,13.7162112,Chemnitzer Straße,2,yes
51.0364151,13.717002,Chemnitzer Straße,1,limited
51.0392156,13.7185017,Agentur für Arbeit,2,yes
51.0405278,13.7197191,Agentur für Arbeit,2,yes
50.969955,13.8029065,Borthen,0,unknown
50.9699154,13.8027493,Borthen,0,unknown
51.0135037,13.7908393,Hülßestraße,-1,no
50.9971071,13.8219412,Dorfstraße,2,yes
50.9947345,13.8184215,Bedrich-Smetana-Straße,2,yes
51.0493951,13.8061747,Berggartenstraße,0,unknown
51.1336807,13.7951401,Fuchsberg,-1,no
51.0864989,13.7633391,Industriegelände,1,limited
51.0874485,13.7299705,Betriebshof Trachenberge,-1,no
51.0870071,13.7294018,Betriebshof Trachenberge,2,yes
51.0409723,13.6253959,"Pennrich, Gleisschleife",2,yes
51.0432934,13.6258886,Oskar-Maune-Straße,0,unknown
51.1690036,13.7948388,"Hufen, Käthe-Kollwitz-Straße",0,unknown
51.1767597,13.6771428,Mittelteichbad,0,unknown
51.0506486,13.5313463,"Wilsdruff, Nossener Straße",0,unknown
51.0517028,13.5377789,Wilsdruff Markt,0,unknown
50.9769901,13.5580668,Waldhäuser,-1,no
51.0447929,13.77787,Mosenstraße,-1,no
51.0457671,13.7707317,Fetscherplatz,0,unknown
51.0422713,13.7672636,Comeniusplatz,-1,no
51.0466634,13.7324446,Reitbahnstraße,1,limited
51.0464728,13.7326552,Reitbahnstraße,1,limited
51.0460052,13.7296632,Josephinenstraße,2,yes
51.0455047,13.7289032,Josephinenstraße,2,yes
51.0420828,13.721522,Schweizer Straße,2,yes
51.0414297,13.7210238,Schweizer Straße,2,yes
50.9871651,13.5783606,"Tharandt, Talmuehlenstraße",0,unknown
50.987382,13.5777353,Tharandt Talmühlenstraße,0,unknown
51.1274583,13.7813159,Grenzstraße Mitte,2,yes
51.1243127,13.7796503,Putbuser Weg,1,limited
51.1242933,13.7794464,Putbuser Weg,1,limited
51.073138,13.7660597,Marienallee,0,unknown
50.9605665,13.9375456,Robert-Koch-Straße,0,unknown
50.9607978,13.9375988,"Pirna, Robert-Koch-Straße",0,unknown
50.9602702,13.9390592,Breite Straße,0,unknown
50.9599271,13.9390409,Breite Straße,0,unknown
50.9601422,13.9390524,Breite Straße,0,unknown
50.9600187,13.9390458,Breite Straße,0,unknown
50.9604414,13.9390684,Breite Straße,0,unknown
51.0016809,13.8632848,Wostra,0,unknown
51.003177,13.8605468,Zur Elbinsel,0,unknown
51.005116,13.8561608,Gondelweg,0,unknown
51.0015081,13.863362,Wostra,0,unknown
51.0026721,13.8612905,Zur Elbinsel,0,unknown
50.9969059,13.8552918,Johannes-Brahms-Straße,2,yes
51.0733782,13.765051,Marienallee,0,unknown
51.065329,13.7418834,Bahnhof Neustadt,2,yes
51.0268425,13.7552082,Caspar-David-Friedrich-Straße,2,yes
51.088213,13.6790473,Seewiesenweg,0,unknown
51.023487,13.7430785,Räcknitzhöhe,2,yes
51.0764064,13.756025,Stauffenbergallee,0,unknown
51.0346849,13.7578486,Querallee,-1,no
51.0344971,13.7583351,Querallee,2,yes
51.0365487,13.7531401,Zoo,2,yes
51.0425092,13.7419365,Hans-Dankner-Straße,2,yes
51.0428216,13.7419427,Hans-Dankner-Straße,2,yes
51.0155781,13.7871829,Lohrmannstraße,-1,no
51.0164859,13.7878852,Lohrmannstraße,2,yes
51.076537,13.7559733,Stauffenbergallee,0,unknown
51.0127662,13.72967,Bannewitzer Straße,0,unknown
50.9410548,13.9442056,Pirna-Südvorstadt Schule,0,unknown
50.9437733,13.9434767,Pirna Geibeltbad,0,unknown
50.9560285,13.9400187,Pirna Clara-Zetkin-Straße,0,unknown
50.9523292,13.9401994,Pirna Seminarstraße,0,unknown
51.0904231,13.9197685,"Großerkmannsdorf, Hauptstraße",0,unknown
51.1106712,13.9281265,Radeberg Kleinwolmsdorfer Straße,0,unknown
51.0329321,13.6968143,"Dresden, Dölzschener Straße",2,yes
51.0327665,13.6973095,"Dresden, Dölzschener Straße",2,yes
51.0336575,13.6910837,"Dresden, Kasseler Straße",1,limited
51.0337973,13.691219,"Dresden, Kasseler Straße",1,limited
51.0340373,13.6753323,"Dresden, Neunimptscher Straße",1,limited
51.0341668,13.6752808,"Dresden, Neunimptscher Straße",2,yes
51.0361828,13.6835645,"Dresden, Saalhausener Straße",1,limited
51.0344305,13.6874481,"Dresden, Altnaußlitz",-1,no
51.0346422,13.6871409,"Dresden, Altnaußlitz",-1,no
51.0366062,13.6971334,"Dresden, Frankenbergstraße",2,yes
51.0361511,13.6973357,"Dresden, Frankenbergstraße",2,yes
51.077638,13.7520981,Rudolf-Leonhard-Straße,0,unknown
51.0774699,13.7519547,Rudolf-Leonhard-Straße,0,unknown
51.0846739,13.9291568,"Großerkmannsdorf, Linde",0,unknown
51.1050221,13.6289554,Radebeul Altkötzschenbroda,0,unknown
51.0078221,13.6577366,Döhlen Platz des Friedens,2,yes
51.0543355,13.8144144,"Dresden, Körnerplatz",2,yes
51.0540293,13.8147101,"Dresden, Körnerplatz",2,yes
51.1138858,13.9029237,"Radeberg, Steinstraße",0,unknown
51.118858,13.9183575,"Radeberg, Otto-Uhlig-Straße",-1,no
51.1602438,13.8450455,"Grünberg, Langebrücker Straße",0,unknown
51.1334802,13.8405196,"Dresden-Langebrück, Am Mühlenteich",0,unknown
51.0400785,13.6461175,Altnossener Straße,2,yes
51.1396932,13.7983074,"Dresden-Weixdorf, E.-Kluge-Straße",0,unknown
51.1401046,13.7979874,"Dresden-Weixdorf, E.-Kluge-Straße",0,unknown
51.1774457,13.8241703,"Ottendorf-Okrilla, Bhf Süd",1,limited
51.0086016,13.6932096,Gewerbegebiet Gittersee,0,unknown
50.9542297,13.9393459,Pirna Rottwerndorfer Straße,0,unknown
51.1242754,13.7656304,Dresden Flughafen,2,yes
51.0999535,13.7355726,Hellerberge,2,yes
50.9958467,13.8034748,Dresden Erich-Kästner-Straße,1,limited
50.9979893,13.8001236,"Prohlis, Einkaufszentrum",2,yes
50.9984241,13.8001473,"Prohlis, Einkaufszentrum",2,yes
51.011369,13.8073614,Haltepunkt Dobritz,2,yes
51.0107846,13.8083768,Haltepunkt Dobritz,2,yes
50.9955847,13.8032346,Dresden Erich-Kästner-Straße,1,limited
51.0387321,13.8060789,Altenberger Straße,2,yes
51.0389175,13.8060388,Altenberger Straße,2,yes
51.0357298,13.8071655,Altenberger Platz,2,yes
51.0324089,13.8050767,Hepkestraße,-1,no
51.0327673,13.8052135,Hepkestraße,-1,no
51.0296718,13.8026645,Einkaufszentrum Seidnitz,2,yes
51.029936,13.8024749,Einkaufszentrum Seidnitz,2,yes
51.0269614,13.8000056,Rennplatzstraße,2,yes
51.0270936,13.8002312,Rennplatzstraße,2,yes
51.0247668,13.7978298,Winterbergstraße,0,unknown
51.0245217,13.7978593,Winterbergstraße,0,unknown
51.0211134,13.7907159,Bahnhof Reick,2,yes
51.0211447,13.7906153,Bahnhof Reick,2,yes
51.0188949,13.7899034,Enno-Heidebroek-Straße,2,yes
51.0193382,13.7898086,Enno-Heidebroek-Straße,2,yes
51.0432979,13.8072443,Niederwaldplatz,0,unknown
51.0436453,13.807249,Niederwaldplatz,0,unknown
51.1278866,13.7774907,Bahnhof Grenzstraße,1,limited
51.1278806,13.7772828,Bahnhof Grenzstraße,-1,no
51.0613809,13.8703921,"Dresden, Taubenberg",1,limited
51.0671633,13.8669686,"Dresden, Hermann-Löns-Straße",0,unknown
51.0246581,13.7620735,Mockritzer Straße,2,yes
51.0243429,13.7624467,Mockritzer Straße,2,yes
51.0226704,13.765031,Hugo-Bürkner-Straße,-1,no
51.0196737,13.7681381,Dohnaer Straße,1,limited
51.0195166,13.7681967,Dohnaer Straße,1,limited
51.0578872,13.7241506,Weißeritzstraße,-1,no
51.0313389,13.7806939,"Dresden, Grunaer Weg",1,limited
51.0309186,13.7799579,"Dresden, Grunaer Weg",1,limited
51.0266714,13.7545938,"Dresden, Caspar-David-Friedrich-Straße",2,yes
51.0266771,13.7550253,Caspar-David-Friedrich-Straße,2,yes
51.0216313,13.7638377,Corinthstraße,2,yes
