id,lat,lon
68512899,51.1234554,13.5998681
90568319,51.1331463,13.5985792
90568337,51.1321322,13.5957451
98116759,51.1326521,13.5971914
325886452,51.1317188,13.5964457
88021700,51.1307474,13.5979786
88022120,51.130037,13.5962868
88022123,51.1286334,13.5939042
90568346,51.1334693,13.5936055
98116700,51.1342427,13.5960002
255555658,51.1339293,13.5950252
1932947430,51.1307735,13.5979123
88022839,51.1303491,13.5989318
88023891,51.1297664,13.5989041
88024807,51.12955,13.5993095
313408258,51.1307087,13.6008127
32340645,51.1086777,13.6060309
32457557,51.1141409,13.6104324
32457560,51.1138009,13.6077128
32457562,51.1131209,13.606318
32457563,51.1129,13.6059028
68525716,51.1139511,13.6108148
269754931,51.1102895,13.606381
25694663,51.1096773,13.6063059
32340415,51.1098108,13.6080656
32340689,51.1126332,13.6092513
32340691,51.1131773,13.6076398
32457561,51.1133721,13.6075762
32340428,51.1084095,13.6076668
32340685,51.1093848,13.6105567
2626329334,51.1094228,13.6107571
32162978,51.1143228,13.6124742
67146725,51.1134878,13.6164188
67148685,51.1202681,13.607051
67193517,51.1203981,13.6067599
67181673,51.1156085,13.6084452
32162976,51.1148504,13.6109029
67182923,51.1174828,13.6101767
67148681,51.1173642,13.6126986
75659208,51.1159443,13.6144326
67011757,51.1158475,13.614273
32162987,51.1120765,13.6209738
107719032,51.1090668,13.6194187
32162582,51.1112653,13.6229164
32457533,51.1139331,13.6230916
32457535,51.11428,13.6206884
89577837,51.1137273,13.6248264
32162984,51.1127969,13.6190689
2220965252,51.1104313,13.6247328
32457532,51.1138194,13.6240263
25694659,51.1082638,13.6220899
32457538,51.108787,13.6201725
107719493,51.1086269,13.6207288
32343678,51.1089679,13.6226865
32457520,51.1085017,13.6248376
32457508,51.1125031,13.6284679
32457514,51.1124264,13.6279951
32457518,51.1122283,13.6282794
33407680,51.113334,13.629041
33407681,51.1131017,13.6300514
60261395,51.1125661,13.6297071
67364161,51.1124287,13.6311722
67364545,51.1108603,13.6301207
67364649,51.1115194,13.6291721
257987259,51.1107854,13.6302204
257987570,51.1103668,13.6308817
429235746,51.1124407,13.6281276
32457511,51.1094712,13.6313281
32457510,51.109372,13.6263165
67365052,51.1089755,13.6274049
257987501,51.1085736,13.6287412
32692606,51.1172408,13.6244598
67201747,51.1184711,13.6204783
32163347,51.1182506,13.6311284
32163358,51.1160363,13.6308856
32457509,51.1148457,13.6300459
67201751,51.1187102,13.6273038
312233231,51.1160146,13.6252539
67199650,51.1267639,13.6054891
87997722,51.132318,13.6106931
33774679,51.1284444,13.6112694
87994204,51.1310506,13.6174466
87994896,51.1305911,13.612222
87997711,51.130605,13.6121346
87985323,51.128316,13.6173251
33774637,51.1224779,13.6189193
33774615,51.1254497,13.6282169
33774622,51.1267004,13.627154
67359896,51.1226131,13.6280735
1141045776,51.1215241,13.628344
67359901,51.1226271,13.6264097
90386874,51.1215372,13.6273398
33774580,51.123827,13.6300017
67358432,51.1225527,13.6289698
87989204,51.127948,13.6214981
87994198,51.1302534,13.6192649
33774653,51.128638,13.6277181
32457594,51.1352423,13.598641
88020394,51.1359959,13.5986496
88021692,51.1350571,13.5985174
331210917,51.14075,13.5937838
529438542,51.1385075,13.5938261
1932958025,51.1405001,13.5940203
33774736,51.1402384,13.593451
88019108,51.1389566,13.5970223
98116431,51.1416087,13.5931001
76481044,51.1454916,13.5937518
76481016,51.1416682,13.5981359
32457596,51.1413428,13.5963366
98116693,51.1414868,13.5969648
98116438,51.1411639,13.5934194
98116607,51.141765,13.5929943
395223725,51.1419871,13.5993223
61246328,50.9823741,13.6319468
61164969,50.9868955,13.6330786
61164978,50.9868122,13.6317375
246280237,50.9867998,13.6316402
536708,50.9841154,13.6338166
246280143,50.988334,13.6334881
246280144,50.9885865,13.6321684
325108459,50.9899497,13.6431993
207608634,50.9883032,13.6467924
207607726,50.988005,13.6485879
207607762,50.9895946,13.651065
262417625,50.9875636,13.6497628
207559265,50.9899081,13.6568011
207608019,50.9877704,13.65458
61164979,50.9925362,13.635509
61164980,50.9935101,13.6322951
246280140,50.9917405,13.6346421
246280141,50.9913659,13.635857
246280138,50.9906269,13.6335289
246280139,50.9903738,13.634859
246280122,50.9961189,13.6377441
246280132,50.9958108,13.6379013
61164977,50.99239,13.6370611
2432224457,50.9936729,13.6317574
2432224475,50.9932957,13.6330027
536705,50.9922283,13.6434514
29047242,50.9926529,13.6434522
61175183,50.9964225,13.6444807
61175190,50.9953605,13.6434326
61175197,50.9938427,13.6419613
325108250,50.9903203,13.6424069
343090582,50.9937711,13.6419242
61188021,50.9911709,13.6438698
61188049,50.9907844,13.6437851
61175225,50.9912987,13.6430702
29047243,50.9936659,13.6450519
61175238,50.9953599,13.6461951
61175252,50.9964456,13.6463145
61175273,50.9953733,13.6447566
61187958,50.9933539,13.6492072
61199738,50.9963346,13.6470644
61199767,50.9951641,13.6478121
61199864,50.9915447,13.6483862
61212504,50.9959543,13.6500474
61212508,50.9960453,13.6510128
264161239,50.9904056,13.6472826
1714708105,50.9956928,13.6464059
61187995,50.9929981,13.6490754
416375012,50.9934675,13.6505755
2048810193,50.9967933,13.6500642
15616447,50.9962548,13.6509875
61188044,50.9903166,13.6458121
61199778,50.9945601,13.6479731
536702,50.992862,13.6475087
536703,50.9927827,13.6469134
